USERNAME,PASSWORD,NAME,GENDER,EMAIL,ADDRESS,BLOOD_GRP,ACCOUNT_NO,BR_NAME,DOB
afk999,mathanoshto,brownfalcon_gms Khan,Male,afk@gmail.com,Mirpur,B+,12354648,br_001,08/09/1995
Ayon037,ayon_mist,Mohiuddin Bilwal Ayon,Male,ayon@gmail.com,Mirpur,O+,15498410000,br_002,09/08/1993
brownFalcon,spifu,Saifur Kacchi,Male,saifur@gmail.com,Mirpur,B+,12354648109,br_001,07/08/1996
modasayedul,rapking,Sayedul Eminem,Male,eminem@gmail.com,ECB,AB-,78945610314,br_001,07/05/1991
arnab007,sirca,Arnab Src,Male,sircar@gmail.com,Tikatuli,B-,45685241999,br_001,03/05/1995
harun,harun123,Mohammad Harun,Male,harun.gorib@gmail.com,Mirpur,AB-,11234568777,br_002,05/12/1996
karim,karimpack,Karimul Islam,Male,karim.fakir@gmail.com,Mohakhali,O-,54123548,br_001,04/20/1997
khaled,khaled19,Khaled Hasan Irfan,Male,khaled.mist@gmail.com,Wari,O+,12345678,br_003,11/14/1999
shakira,shakira_pique,Shakira Gonzalez,Female,shakira.spain@gmail.com,Keranigonj,B-,14789632,br_003,01/14/1989
mayesha,mayesha_shrishti,Mayesha Mehjabin Shristi,Female,mayesha.12456@hotmail.com,Savar,A-,87412364,br_003,11/10/2001
astha,astha_ikra,Faizoon Noor Astha,Female,astha.urbt@yahoo.com,Lalmatia,O+,9785412364,br_003,23/02/2002
tariq,tariqanans,Tariq Hasan Rizu,Male,tariq.js@hotmail.com,Uttara,O+,5478514668,br_003,17/03/2000
faisal,chotto_faisal,Rayhan Ferdous Faisal,Male,faisal.kipta@gmail.com,ECB,AB-,112112112,br_002,11/05/1998
arafat,grande_arafat,Sheikh Easin Arafat,Male,arafat.kyanat.lovebirds@yahoo.com,ECB,O+,147147147,br_002,11/25/2000
sowmik,alam_loves_many,MN Alam Siddiqui,Male,alam.mist@gmail.com,Osmany Hall,O+,118987321,br_001,01/30/1999
rashid,petuk_rashid,Rashid Ul Islam,Male,rashid.@yahoo.com,DOHS,O+,564564564,br_001,02/14/2000
meher,meher_futlo_bole,Antul Nahar Meher,Female,anm.mna@yahoo.com,DOHS,B-,202000300,br_001,11/05/2006
naima,naima_naimoon,Afia Makhtoor Naima,Female,naima.mist@gmail.com,BanglaMotor,A-,123547698,br_003,03/14/2002
akash,akash_file,Mofizur Hasan Akash,Male,mohiakash@yahoo.com,Shonir Akhra,O+,22142233,br_002,11/05/1998
hasim,hasim_bot,Hasim Molla,Male,hasim_boka@yahoo.com,Mawa,O+,124577963,br_001,02/14/2004
rahat,rahaitttaa,Ahsan Rahat,Male,rahat.mist.37@gmail.com,Mirpur,O+,148974897,br_002,03/12/1999
adrito,rafat_adrito,Rafatuzzaman Khan,Male,rafat_loves_anime@gmail.com,Mirpur,O+,2547893114,br_002,04/22/2000
naiem,the_boka,Solaiman Islam Naiem,Male,naiem@hotmail.com,Osmany Hall,AB+,2536987412,br_003,10/14/2000
bibhor,bibhor_arsenal,Tanjim Sakib Bibhor,Male,bibhor_sakib@gmail.com,Mohammadpur,O+,100010001,br_003,02/02/1998
megh,megh_clear,Naima Islam Megh,Female,naima@gmail.com,Firmgate,AB+,5463214569,br_003,07/31/1999
shafin,shafin_loves_mancity,Mushfique Hossain Shafin,Male,shafin.123@gmail.com,Mohammadpur,O+,5463214569,br_001,07/31/1990
sakib,sakib_picchi,Tasnim Ullah Sakib,Male,sakib.mist@yahoo.com,Mugda,O+,20010012,br_001,12/12/1999
adib,mascular_adib,Adib Hossain,Male,adib.hossain@gmail.com,Motijheel,AB-,323232323,br_001,01/01/1999
nizami,chatur_farhan,Farhan Nasif Nizami,Male,farhan.mist@gmail.com,Mirpur,O-,987987987,br_002,12/22/2000
rakib,rakib_fut,Rakib Hasan,Male,rakib.mist.fut@gmail.com,Osmany Hall,B+,1474444444,br_002,05/22/1998
rafid147,rafid_trai,Rafid Mustakim,Male,rafid147@gmail.com,Mirpur,B+,1474444444,br_002,04/08/1996
ishraq,hard_worker_ishraq,Shah Ishraq,Male,ishraq.mist@gmail.com,Osmany Hall,A-,123654897,br_003,01/31/1995
mahmud,mahmud_slasher,Mahmud Hasan,Male,mahmud.mist@gmail.com,Mirpur,O+,7896540012,br_003,03/12/1992
enan,boyati-enan,Enan Abdullah Khan,Male,enan13.mist@yahoo.com,Firmgate,O+,74820153,br_003,05/12/1999
